province,date,cases
Alberta,2020-01-25,0
Alberta,2020-01-26,0
Alberta,2020-01-27,0
Alberta,2020-01-28,0
Alberta,2020-01-29,0
Alberta,2020-01-30,0
Alberta,2020-01-31,0
Alberta,2020-02-01,0
Alberta,2020-02-02,0
Alberta,2020-02-03,0
Alberta,2020-02-04,0
Alberta,2020-02-05,0
Alberta,2020-02-06,0
Alberta,2020-02-07,0
Alberta,2020-02-08,0
Alberta,2020-02-09,0
Alberta,2020-02-10,0
Alberta,2020-02-11,0
Alberta,2020-02-12,0
Alberta,2020-02-13,0
Alberta,2020-02-14,0
Alberta,2020-02-15,0
Alberta,2020-02-16,0
Alberta,2020-02-17,0
Alberta,2020-02-18,0
Alberta,2020-02-19,0
Alberta,2020-02-20,0
Alberta,2020-02-21,0
Alberta,2020-02-22,0
Alberta,2020-02-23,0
Alberta,2020-02-24,0
Alberta,2020-02-25,0
Alberta,2020-02-26,0
Alberta,2020-02-27,0
Alberta,2020-02-28,0
Alberta,2020-02-29,0
Alberta,2020-03-01,0
Alberta,2020-03-02,0
Alberta,2020-03-03,0
Alberta,2020-03-04,0
Alberta,2020-03-05,1
Alberta,2020-03-06,2
Alberta,2020-03-07,2
Alberta,2020-03-08,4
Alberta,2020-03-09,14
Alberta,2020-03-10,14
Alberta,2020-03-11,19
Alberta,2020-03-12,23
Alberta,2020-03-13,29
Alberta,2020-03-14,39
Alberta,2020-03-15,56
Alberta,2020-03-16,74
Alberta,2020-03-17,97
Alberta,2020-03-18,119
Alberta,2020-03-19,146
Alberta,2020-03-20,195
Alberta,2020-03-21,226
Alberta,2020-03-22,259
Alberta,2020-03-23,301
Alberta,2020-03-24,358
Alberta,2020-03-25,419
Alberta,2020-03-26,486
Alberta,2020-03-27,542
Alberta,2020-03-28,621
Alberta,2020-03-29,661
Alberta,2020-03-30,690
Alberta,2020-03-31,754
Alberta,2020-04-01,871
Alberta,2020-04-02,968
Alberta,2020-04-03,1075
Alberta,2020-04-04,1181
Alberta,2020-04-05,1250
Alberta,2020-04-06,1348
Alberta,2020-04-07,1373
Alberta,2020-04-08,1423
Alberta,2020-04-09,1451
Alberta,2020-04-10,1500
